c:\users\fury\desktop\2017006144\a1.vms
C 1s/7
	Characteristic Energy eV	1486.69	Acquisition Time s	0.3
KE_C 1s/7	BE_C 1s/7	CPS_C 1s/7	C 1s_1_C 1s/7	C 1s_2_C 1s/7	C 1s_3_C 1s/7	C 1s_4_C 1s/7	C 1s_5_C 1s/7	Background_C 1s/7	Envelope_C 1s/7
1194.59	292.096	1326.67	1038.91	1039.25	1038.91	1380.43	1038.91	1038.91	1380.78
1194.64	292.046	1430	1038.59	1039.06	1038.59	1408.65	1038.59	1038.59	1409.11
1194.69	291.996	1423.33	1038.27	1038.91	1038.27	1438.18	1038.27	1038.27	1438.81
1194.74	291.946	1406.67	1037.97	1038.83	1037.97	1468.96	1037.97	1037.97	1469.81
1194.79	291.896	1543.33	1037.56	1038.7	1037.56	1500.77	1037.56	1037.56	1501.91
1194.84	291.846	1520	1037.16	1038.7	1037.16	1533.61	1037.16	1037.16	1535.14
1194.89	291.796	1560	1036.74	1038.77	1036.74	1567.28	1036.74	1036.74	1569.31
1194.94	291.746	1556.67	1036.31	1039.01	1036.31	1601.66	1036.31	1036.31	1604.35
1194.99	291.696	1706.67	1035.76	1039.31	1035.76	1636.42	1035.76	1035.76	1639.96
1195.04	291.646	1730	1035.19	1039.86	1035.19	1671.45	1035.2	1035.19	1676.11
1195.09	291.596	1796.67	1034.57	1040.65	1034.57	1706.48	1034.57	1034.57	1712.57
1195.14	291.546	1773.33	1033.97	1041.87	1033.97	1741.33	1033.97	1033.97	1749.24
1195.19	291.496	1733.33	1033.39	1043.63	1033.39	1775.73	1033.4	1033.39	1785.97
1195.24	291.446	1903.33	1032.68	1045.84	1032.68	1809.23	1032.68	1032.68	1822.38
1195.29	291.396	2003.33	1031.89	1048.79	1031.89	1841.57	1031.89	1031.89	1858.47
1195.34	291.346	1930	1031.15	1052.66	1031.15	1872.59	1031.16	1031.15	1894.1
1195.39	291.296	2020	1030.34	1057.73	1030.34	1901.83	1030.35	1030.34	1929.21
1195.44	291.246	1896.67	1029.64	1064.21	1029.64	1929.1	1029.64	1029.64	1963.68
1195.49	291.196	1920	1028.91	1072.44	1028.91	1954.03	1028.92	1028.91	1997.57
1195.54	291.146	2000	1028.11	1082.63	1028.11	1976.3	1028.13	1028.11	2030.83
1195.59	291.096	2063.33	1027.26	1095.17	1027.27	1995.66	1027.29	1027.26	2063.58
1195.64	291.046	2146.67	1026.35	1110.7	1026.35	2011.85	1026.38	1026.35	2096.23
1195.69	290.996	2210	1025.38	1129.33	1025.38	2024.69	1025.43	1025.38	2128.69
1195.74	290.946	2120	1024.48	1152.52	1024.49	2034.14	1024.55	1024.48	2162.24
1195.79	290.896	1990	1023.69	1180.11	1023.7	2040.11	1023.78	1023.69	2196.62
1195.84	290.846	2183.33	1022.75	1213.41	1022.75	2042.25	1022.87	1022.75	2233.04
1195.89	290.796	2146.67	1021.83	1252.76	1021.83	2040.71	1022	1021.83	2271.81
1195.94	290.746	2333.33	1020.75	1299.26	1020.75	2035.31	1020.99	1020.75	2314.05
